manufacture,bssid,ip,idle_time,site_id,rx_rate,ap_mac,psk_id,dual_band,vlan_id,num_locating_aps,uptime,ssid,rx_pkts,proto,tx_retries,hostname,tx_bps,key_mgmt,channel,rssi,username,family,map_id,airwatch,rx_retries,band,mac,snr,is_guest,tx_bytes,annotation,tx_rate,rx_bps,_id,tx_pkts,rx_bytes,_ttl,ap_id,y,x,model,wlan_id,os,last_seen
Samsung Electronics Co.,5c5b35373531,192.168.100.100,2,6cca9f67-b558-4f9b-8b0d-554af61d41bb,26.0,5c5b353eeadd,,False,100,1,44910,PRODUCT_DEMO_NETWORK,339910,n,77011,Galaxy-J3-Star,0,WPA2-PSK/CCMP,11,-45,,,5894082b-c38d-4bc9-a929-f84a3af5641e,,29816,24,48c796463911,44,False,637527700,unknown,72.2,135,48c796463911,439423,46467354,298,00000000-0000-0000-1000-5c5b353eeadd,424.6181092600984,417.70699974655315,,8d977dd7-395f-4454-a90e-a2163c3aaa8e,Linux,1542756742
Samsung Electronics Co.,5c5b35373542,192.168.100.99,7,6cca9f67-b558-4f9b-8b0d-554af61d41bb,18.0,5c5b353eeadd,,False,100,1,44912,PRODUCT_DEMO_NETWORK,540261,ac,45052,Galaxy-J7-Star,0,WPA2-PSK/CCMP,36,-41,,,5894082b-c38d-4bc9-a929-f84a3af5641e,,2766,5,d4e6b723eedf,49,False,817785100,unknown,86.5,0,d4e6b723eedf,564096,74992614,296,00000000-0000-0000-1000-5c5b353eeadd,410.9312584993827,437.36071543771567,,8d977dd7-395f-4454-a90e-a2163c3aaa8e,Linux,1542756742
Apple,5c5b35373993,10.121.46.20,72,6cca9f67-b558-4f9b-8b0d-554af61d41bb,18.0,5c5b353eeb50,,False,1,1,39511,REMO,4022,ac,24,CASAN8894IPM109,0,WPA2-EAP-FT/CCMP,64,-46,CASAN8894IPM109,iPad,5894082b-c38d-4bc9-a929-f84a3af5641e,,469,5,9c84bf498ddf,46,False,1673690,unknown,156.0,0,9c84bf498ddf,2635,711080,296,00000000-0000-0000-1000-5c5b353eeb50,140.8088431888892,338.5662192301872,Mini 4 + Cellular,1bf4d27b-f09f-4c74-a3bc-dddfeb95f2b3,12.0.1,1542756716
Apple,5c5b35373993,10.121.46.29,72,6cca9f67-b558-4f9b-8b0d-554af61d41bb,18.0,5c5b353eeb50,,False,1,1,18000,REMO,1902,ac,7,CASAN8894IPM110,0,WPA2-EAP-FT/CCMP,64,-45,CASAN8894IPM110,iPad,5894082b-c38d-4bc9-a929-f84a3af5641e,,199,5,9c84bf492378,47,False,535507,unknown,156.0,0,9c84bf492378,1042,368109,295,00000000-0000-0000-1000-5c5b353eeb50,137.16342365827026,331.4644513043373,Mini 4 + Cellular,1bf4d27b-f09f-4c74-a3bc-dddfeb95f2b3,12.1,1542756716
Murata Manufacturing Co.,5c5b35373542,192.168.100.94,4,6cca9f67-b558-4f9b-8b0d-554af61d41bb,240.5,5c5b353eeadd,,False,100,1,2057973,PRODUCT_DEMO_NETWORK,8785703,ac,967438,Galaxy-Note8,0,WPA2-PSK/CCMP,36,-49,,,5894082b-c38d-4bc9-a929-f84a3af5641e,,396225,5,dcefcacf4b10,41,False,20241127667,unknown,216.6,0,dcefcacf4b10,10355937,1646898227,294,00000000-0000-0000-1000-5c5b353eeadd,416.8168813063124,407.31224067481065,,8d977dd7-395f-4454-a90e-a2163c3aaa8e,Linux,1542756742
Apple,5c5b35372a31,192.168.101.172,2,6cca9f67-b558-4f9b-8b0d-554af61d41bb,65.0,5c5b353ee9b6,,False,100,1,30,DATA_TRANSFER_NETWORK,104,ac,2,iPhone,0,WPA2-PSK/CCMP,149,-75,,iPhone,5894082b-c38d-4bc9-a929-f84a3af5641e,,6,5,3c2eff6ff728,17,False,10749,unknown,96.1,135,3c2eff6ff728,36,18795,292,00000000-0000-0000-1000-5c5b353ee9b6,440.06855694828613,502.7337734344627,8+,312c05b9-8ea5-4622-b4ee-22cfb656a86c,12.1,1542756737
Murata Manufacturing Co.,5c5b35373542,192.168.100.96,2,6cca9f67-b558-4f9b-8b0d-554af61d41bb,216.5,5c5b353eeadd,,False,100,1,44923,PRODUCT_DEMO_NETWORK,433125,ac,34426,Galaxy-S9,0,WPA2-PSK/CCMP,36,-55,,,5894082b-c38d-4bc9-a929-f84a3af5641e,,8604,5,a0c9a0c6af81,35,False,726366888,unknown,192.5,135,a0c9a0c6af81,455591,67520529,290,00000000-0000-0000-1000-5c5b353eeadd,379.32606190047545,428.83381093225364,,8d977dd7-395f-4454-a90e-a2163c3aaa8e,Linux,1542756742
QCOM TECHNOLOGY INC.,5c5b35372a21,192.168.101.140,3,6cca9f67-b558-4f9b-8b0d-554af61d41bb,65.0,5c5b353ee9b6,,False,100,1,19748,DATA_TRANSFER_NETWORK,6016,n,3946,Touch2-7003473,0,WPA2-PSK/CCMP,1,-54,,,5894082b-c38d-4bc9-a929-f84a3af5641e,,943,24,000df0c67d49,38,False,7799851,unknown,65.0,0,000df0c67d49,7029,893377,289,00000000-0000-0000-1000-5c5b353ee9b6,329.8034982841418,411.91412682078624,,312c05b9-8ea5-4622-b4ee-22cfb656a86c,Windows 10,1542756737
Apple,5c5b35373001,192.168.101.169,67,6cca9f67-b558-4f9b-8b0d-554af61d41bb,173.3,5c5b353eea51,,False,100,1,9574,DATA_TRANSFER_NETWORK,13602,ac,2664,Chau-Les-iPad,0,WPA2-PSK/CCMP,52,-50,,iPad,5894082b-c38d-4bc9-a929-f84a3af5641e,,30,5,dca4ca75d75e,42,False,13857117,unknown,156.0,0,dca4ca75d75e,11310,3750962,288,00000000-0000-0000-1000-5c5b353eea51,263.55735861939274,228.70364108287424,"Pro 10.5""+Cell",312c05b9-8ea5-4622-b4ee-22cfb656a86c,11.3,1542756748
TCT mobile ltd,5c5b35373001,192.168.100.82,8,6cca9f67-b558-4f9b-8b0d-554af61d41bb,6.0,5c5b353eea51,,False,100,1,78173,DATA_TRANSFER_NETWORK,50367,n,1952,,0,WPA2-PSK/CCMP,52,-37,,,5894082b-c38d-4bc9-a929-f84a3af5641e,,470,5,e0e62e8bdb91,55,False,5725725,unknown,65.0,0,e0e62e8bdb91,11852,5742590,288,00000000-0000-0000-1000-5c5b353eea51,242.21911884582255,208.29389216900478,,312c05b9-8ea5-4622-b4ee-22cfb656a86c,Linux,1542756748
Apple,5c5b35373001,192.168.101.156,72,6cca9f67-b558-4f9b-8b0d-554af61d41bb,18.0,5c5b353eea51,,False,100,1,11725,DATA_TRANSFER_NETWORK,70948,ac,19308,iPhone,0,WPA2-PSK/CCMP,52,-65,,iPhone,5894082b-c38d-4bc9-a929-f84a3af5641e,,678,5,fc2a9c9d2d89,27,False,150161894,unknown,144.4,0,fc2a9c9d2d89,81167,41645871,288,00000000-0000-0000-1000-5c5b353eea51,168.2054808617662,259.8511992920967,XS Max,312c05b9-8ea5-4622-b4ee-22cfb656a86c,12.0,1542756747
Samsung Electronics Co.,5c5b35373001,192.168.100.240,12,6cca9f67-b558-4f9b-8b0d-554af61d41bb,18.0,5c5b353eea51,,False,100,1,12626,DATA_TRANSFER_NETWORK,2910,n,24,Galaxy-Tab-A-8,0,WPA2-PSK/CCMP,52,-36,,,5894082b-c38d-4bc9-a929-f84a3af5641e,,58,5,108ee066bc8e,56,False,1723611,unknown,65.0,0,108ee066bc8e,2225,606769,288,00000000-0000-0000-1000-5c5b353eea51,246.1663326275268,207.52067138275208,,312c05b9-8ea5-4622-b4ee-22cfb656a86c,Linux,1542756747
Apple,5c5b35373993,10.121.46.57,1,6cca9f67-b558-4f9b-8b0d-554af61d41bb,18.0,5c5b353eeb50,,False,1,1,10489,REMO,36334,ac,4409,CASAN8894IPM107,199,WPA2-EAP-FT/CCMP,64,-53,CASAN8894IPM107,iPad,5894082b-c38d-4bc9-a929-f84a3af5641e,,399,5,203caef1b6b1,39,False,56668038,unknown,156.0,271,203caef1b6b1,39814,9189039,286,00000000-0000-0000-1000-5c5b353eeb50,108.67645901673268,334.9315138187556,Mini 4 + Cellular,1bf4d27b-f09f-4c74-a3bc-dddfeb95f2b3,12.0.1,1542756716
Apple,5c5b35373531,192.168.101.38,76,6cca9f67-b558-4f9b-8b0d-554af61d41bb,18.0,5c5b353eeadd,,False,100,1,271493,PRODUCT_DEMO_NETWORK,137092,n,25218,iPhone,0,WPA2-PSK/CCMP,11,-42,,iPhone,5894082b-c38d-4bc9-a929-f84a3af5641e,,6687,24,38539c42d1ac,47,False,129888591,unknown,144.4,0,38539c42d1ac,112260,16983381,282,00000000-0000-0000-1000-5c5b353eeadd,422.5501519838592,417.04677191307354,XS Max,8d977dd7-395f-4454-a90e-a2163c3aaa8e,12.0,1542756742
LG Electronics (Mobile Communications),5c5b35373542,192.168.100.85,3,6cca9f67-b558-4f9b-8b0d-554af61d41bb,18.0,5c5b353eeadd,,False,100,1,3069469,PRODUCT_DEMO_NETWORK,3469230,ac,41994,android-c778f9bc22a9939,0,WPA2-PSK/CCMP,36,-48,,,5894082b-c38d-4bc9-a929-f84a3af5641e,,21387,5,48605f669a32,42,False,3043188352,unknown,173.3,0,48605f669a32,1796336,479185594,282,00000000-0000-0000-1000-5c5b353eeadd,407.7346679715612,445.1405416077422,,8d977dd7-395f-4454-a90e-a2163c3aaa8e,Linux,1542756742
Apple,5c5b35373542,192.168.101.203,56,6cca9f67-b558-4f9b-8b0d-554af61d41bb,192.5,5c5b353eeadd,,False,100,1,2140304,PRODUCT_DEMO_NETWORK,558454,ac,49481,iPhone,0,WPA2-PSK/CCMP,36,-43,,iPhone,5894082b-c38d-4bc9-a929-f84a3af5641e,,1411,5,b019c6e35357,47,False,1424228397,unknown,173.2,0,b019c6e35357,670993,95889478,282,00000000-0000-0000-1000-5c5b353eeadd,423.7943654495888,419.15192437839283,8,8d977dd7-395f-4454-a90e-a2163c3aaa8e,11.0,1542756742
Apple,5c5b35373531,192.168.101.176,33,6cca9f67-b558-4f9b-8b0d-554af61d41bb,18.0,5c5b353eeadd,,False,100,1,3141,PRODUCT_DEMO_NETWORK,6899,n,9746,YasminspleWatch,0,WPA2-PSK/CCMP,11,-53,,Apple Watch,5894082b-c38d-4bc9-a929-f84a3af5641e,,2179,24,c484664ed7e4,36,False,13456827,unknown,72.2,0,c484664ed7e4,10741,1203913,282,00000000-0000-0000-1000-5c5b353eeadd,423.7147899668342,402.4117612861983,S3 38mm,8d977dd7-395f-4454-a90e-a2163c3aaa8e,5.0.1,1542756742
Apple,5c5b35373542,192.168.101.157,37,6cca9f67-b558-4f9b-8b0d-554af61d41bb,192.5,5c5b353eeadd,,False,100,1,940,PRODUCT_DEMO_NETWORK,3781,ac,870,JQP-Iphone-X,0,WPA2-PSK/CCMP,36,-63,,iPhone,5894082b-c38d-4bc9-a929-f84a3af5641e,,35,5,d4a33d3711b0,27,False,1240418,unknown,173.3,0,d4a33d3711b0,2396,770907,282,00000000-0000-0000-1000-5c5b353eeadd,352.074210337012,390.260098304649,X,8d977dd7-395f-4454-a90e-a2163c3aaa8e,12.1,1542756742
Apple,5c5b35373542,192.168.101.165,0,6cca9f67-b558-4f9b-8b0d-554af61d41bb,192.5,5c5b353eeadd,,False,100,1,2161864,PRODUCT_DEMO_NETWORK,693509,ac,96678,iPhone,199,WPA2-PSK/CCMP,36,-45,,iPhone,5894082b-c38d-4bc9-a929-f84a3af5641e,,2356,5,d81c79e80439,45,False,1119086807,unknown,192.5,487,d81c79e80439,664645,129248724,282,00000000-0000-0000-1000-5c5b353eeadd,429.9272066362864,435.36196343504236,,8d977dd7-395f-4454-a90e-a2163c3aaa8e,12.0,1542756742
Apple,5c5b35373542,192.168.102.189,21,6cca9f67-b558-4f9b-8b0d-554af61d41bb,18.0,5c5b353eeadd,,False,100,1,1549393,PRODUCT_DEMO_NETWORK,377474,ac,27083,iPhone,0,WPA2-PSK/CCMP,36,-48,,iPhone,5894082b-c38d-4bc9-a929-f84a3af5641e,,2337,5,68fef7f1ac9e,42,False,434125012,unknown,173.2,0,68fef7f1ac9e,313453,64593374,282,00000000-0000-0000-1000-5c5b353eeadd,402.81774703955386,414.128589756432,XS,8d977dd7-395f-4454-a90e-a2163c3aaa8e,12.0,1542756742
Apple,5c5b35373542,192.168.101.173,38,6cca9f67-b558-4f9b-8b0d-554af61d41bb,192.5,5c5b353eeadd,,False,100,1,3475,PRODUCT_DEMO_NETWORK,57689,ac,9678,Yasmin,0,WPA2-PSK/CCMP,36,-61,,iPhone,5894082b-c38d-4bc9-a929-f84a3af5641e,,704,5,d4a33d3a55f4,29,False,118050586,unknown,144.4,0,d4a33d3a55f4,65264,25150522,282,00000000-0000-0000-1000-5c5b353eeadd,504.6637434374146,423.72891673139236,X,8d977dd7-395f-4454-a90e-a2163c3aaa8e,12.1,1542756742
Apple,5c5b35373543,10.121.46.21,1,6cca9f67-b558-4f9b-8b0d-554af61d41bb,18.0,5c5b353eeadd,,False,1,1,6441,REMO,28372,ac,1052,CASAN8894IPM111,1975,WPA2-EAP-FT/CCMP,36,-44,CASAN8894IPM111,iPad,5894082b-c38d-4bc9-a929-f84a3af5641e,,278,5,203caef2af1b,46,False,47736974,unknown,156.0,2955,203caef2af1b,32485,7196274,282,00000000-0000-0000-1000-5c5b353eeadd,413.40262220398785,418.52464576824127,Mini 4 + Cellular,1bf4d27b-f09f-4c74-a3bc-dddfeb95f2b3,12.0.1,1542756742
Apple,5c5b35373993,10.121.46.40,58,6cca9f67-b558-4f9b-8b0d-554af61d41bb,18.0,5c5b353eeb50,,False,1,1,6064,REMO,386,ac,3,CASAN8894IPM102,0,WPA2-EAP-FT/CCMP,64,-47,CASAN8894IPM102,iPad,5894082b-c38d-4bc9-a929-f84a3af5641e,,70,5,9c84bf474ea0,45,False,17855,unknown,144.4,0,9c84bf474ea0,111,29772,281,00000000-0000-0000-1000-5c5b353eeb50,156.12849925914514,310.4493414290737,Mini 4 + Cellular,1bf4d27b-f09f-4c74-a3bc-dddfeb95f2b3,12.0.1,1542756716
OnePlus Technology (Shenzhen) Co.,5c5b35372a31,192.168.103.199,7,6cca9f67-b558-4f9b-8b0d-554af61d41bb,18.0,5c5b353ee9b6,,False,100,1,414871,DATA_TRANSFER_NETWORK,50718,ac,1226,OnePlus_6T,0,WPA2-PSK/CCMP,149,-50,,,5894082b-c38d-4bc9-a929-f84a3af5641e,,475,5,64a2f9dc65c0,42,False,33640280,unknown,156.0,0,64a2f9dc65c0,29282,17474615,277,00000000-0000-0000-1000-5c5b353ee9b6,333.5264033829085,347.7613937721732,,312c05b9-8ea5-4622-b4ee-22cfb656a86c,Linux,1542756737
Apple,5c5b35372a31,192.168.101.180,14,6cca9f67-b558-4f9b-8b0d-554af61d41bb,18.0,5c5b353ee9b6,,False,100,1,184,DATA_TRANSFER_NETWORK,1597,ac,1247,iPhone,0,WPA2-PSK/CCMP,149,-91,,iPhone,5894082b-c38d-4bc9-a929-f84a3af5641e,,326,5,fc2a9c9d53d5,1,False,1559136,unknown,13.0,0,fc2a9c9d53d5,1248,419509,277,00000000-0000-0000-1000-5c5b353ee9b6,358.0979526903053,329.2169730088252,XS Max,312c05b9-8ea5-4622-b4ee-22cfb656a86c,12.1,1542756737
Apple,5c5b35372a31,192.168.101.171,16,6cca9f67-b558-4f9b-8b0d-554af61d41bb,104.0,5c5b353ee9b6,,False,100,2,18,DATA_TRANSFER_NETWORK,6,ac,0,Darrens-iPhone,0,WPA2-PSK/CCMP,149,-76,,iPhone,5894082b-c38d-4bc9-a929-f84a3af5641e,,3,5,d0c5f3339f64,16,False,298,unknown,18.0,0,d0c5f3339f64,2,444,277,00000000-0000-0000-1000-5c5b353ee9b6,380.72270685943374,89.41302826475857,7,312c05b9-8ea5-4622-b4ee-22cfb656a86c,12.1.1,1542756737
Apple,5c5b35372a31,192.168.100.185,50,6cca9f67-b558-4f9b-8b0d-554af61d41bb,18.0,5c5b353ee9b6,,False,100,1,525124,DATA_TRANSFER_NETWORK,405059,ac,198516,iPad,0,WPA2-PSK/CCMP,149,-49,,iPad,5894082b-c38d-4bc9-a929-f84a3af5641e,,1974,5,4c569d1e6b22,43,False,2464859877,unknown,192.5,0,4c569d1e6b22,888372,72783737,277,00000000-0000-0000-1000-5c5b353ee9b6,303.6197518125059,369.97718604372733,,312c05b9-8ea5-4622-b4ee-22cfb656a86c,12.1,1542756737
Murata Manufacturing Co.,5c5b35372a62,192.168.100.101,0,6cca9f67-b558-4f9b-8b0d-554af61d41bb,173.2,5c5b353ee9bb,,False,100,1,44880,PRODUCT_DEMO_NETWORK,44584,ac,6472,Galaxy-S8,0,WPA2-PSK/CCMP,161,-60,,,5894082b-c38d-4bc9-a929-f84a3af5641e,,3598,5,b072bfdfdf04,30,False,19534203,unknown,156.0,1862,b072bfdfdf04,23247,10310135,275,00000000-0000-0000-1000-5c5b353ee9bb,245.25240503353632,191.45858505296488,,8d977dd7-395f-4454-a90e-a2163c3aaa8e,Nougat,1542756716
Apple,5c5b35372a63,10.121.46.31,73,6cca9f67-b558-4f9b-8b0d-554af61d41bb,18.0,5c5b353ee9bb,,False,1,1,14416,REMO,116836,ac,11531,CASAN8894IPM108,0,WPA2-EAP-FT/CCMP,161,-60,CASAN8894IPM108,iPad,5894082b-c38d-4bc9-a929-f84a3af5641e,,1119,5,203caef08b6b,30,False,133342445,unknown,173.3,0,203caef08b6b,117338,38373544,266,00000000-0000-0000-1000-5c5b353ee9bb,296.4906033598438,105.10574731965727,Mini 4 + Cellular,1bf4d27b-f09f-4c74-a3bc-dddfeb95f2b3,12.0.1,1542756716
